target,group_name,Material Number,MaterialID,Output Name,tetracorder_file,Spectral Library file,Chapter,Library Spectrum TITLE,Library
Chlorite,group.2um,,,chlorite thuringite SMR-15.b,chlorite_thuringite,sl1/usgs/library06/ASCII/M/thuringite_smr15.21810.asc,M,Thuringite SMR-15.b  32um    W1R1Ba,splib06
Dickite,group.2um,,,kaolingroup dickite NMNH106242,kaolgrp_dickite,sl1/usgs/library06/ASCII/M/dickite_nmnh106242.6820.asc,M,Dickite NMNH106242           W1R1Bb,splib06
Dolomite,group.2um,,,carbonate dolomite 2.5u HS102.3B,carbonate_dolomite,sl1/usgs/library06/ASCII/M/dolomite_hs102.7116.asc,M,Dolomite HS102.3B s06crj3a=bbb ,splib06
Epidote,group.1um,,epidote.gds26.a.g1,epidote GDS26.a,epidote,sl1/usgs/library06/ASCII/M/epidote_gds26.7546.asc,M,Epidote GDS26.a 75-200um     W1R1Bb,splib06
Epidote,group.2um,,epidote.gds26.a.g2,epidote GDS26.a,epidote,sl1/usgs/library06/ASCII/M/epidote_gds26.7546.asc,M,Epidote GDS26.a 75-200um     W1R1Bb,splib06
Epidote,group.1um,,,"Fe2+ generic, ref= BR33a bio qtz monz. hv epidot vn",fe2+generic_br33a_bioqtzmonz_epidote,sl1/usgs/library06/ASCII/M/epidote_br93-33a.7490.asc,M,Epidote BR93-33a             W1R1Bb AREF,splib06
Goethite,group.1um,,,Fe3+ goethite coarse gr. WS222,fe3+_goethite.coarsegr,sl1/usgs/library06/ASCII/M/goethite_ws222.8459.asc,M,Goethite WS222 coarse grain  W1R1H_ ,splib06
Goethite,group.1um,,,Fe3+ geothite fine gr MPCMA2-B,fe3+_goethite.fingr,sl1/usgs/library06/ASCII/M/goethite_mpcma2b.8351.asc,M,Goethite MPCMA2-B FineGr adj W1R1Bb,splib06
Goethite,group.1um,,,Fe3+ goethite lepidocrosite GDS80,fe3+_goethite.lepidocrosite,sl1/usgs/library06/ASCII/M/lepidochros_gds80.12600.asc,M,Lepidocrosite GDS80 (Syn)    W1R1Hb,splib06
Goethite,group.1um,,,Fe3+ goethite m-crs gr MPCMA2-C trjar,fe3+_goethite.medcoarsegr.mpc.trjar,sl1/usgs/library06/ASCII/M/goethite_mpcma2c.8365.asc,M,Goethite MPCMA2-C M-Crsgrad2 W1R1Hb AREF,splib06
Goethite,group.1um,,,Fe3+ goethite med grain WS222,fe3+_goethite.medgr.ws222,sl1/usgs/library06/ASCII/M/goethite_ws222.8447.asc,M,Goethite WS222 <250um MedGrn W1R1H_ AREF,splib06
Halloysite,group.2um,,,kaolingroup halloysite NMNH106237,kaolgrp_halloysite,sl1/usgs/library06/ASCII/M/halloysite_nmnh106237.8999.asc,M,Halloysite NMNH106237        W1R1Ha,splib06
Hematite,group.1um,,,Fe3+ hematite FE2602,fe3+_hematite.fine.gr.fe2602,sl1/usgs/library06/ASCII/M/hematite_fe2602.9271.asc,M,Hematite FE2602              W1R1Bb,splib06
Hematite,group.1um,,,Fe3+ hematite WS161,fe3+_hematite.fine.gr.ws161,sl1/usgs/library06/ASCII/M/hematite_ws161.9776.asc,M,Hematite WS161               W1R1Hb,splib06
Hematite,group.1um,,,Fe3+ hematite GDS27 med grained,fe3+_hematite.med.gr.gds27,sl1/usgs/library06/ASCII/M/hematite_gds27.9282.asc,M,Hematite GDS27               W1R1Ha,splib06
